state,participation,total
Alabama,6.0,1166
Alaska,43.0,1106
Arizona,29.0,1149
Arkansas,5.0,1169
California,60.0,1076
Colorado,100.0,1025
Connecticut,100.0,1053
Delaware,100.0,998
District of Columbia,92.0,977
Florida,56.0,1099
Georgia,70.0,1064
Hawaii,56.0,1010
Idaho,100.0,1001
Illinois,99.0,1019
Indiana,63.0,1074
Iowa,3.0,1265
Kansas,4.0,1265
Kentucky,4.0,1248
Louisiana,4.0,1210
Maine,99.0,1013
Maryland,76.0,1080
Massachusetts,80.0,1125
Michigan,100.0,1011
Minnesota,4.0,1298
Mississippi,3.0,1236
Missouri,4.0,1262
Montana,10.0,1198
Nebraska,3.0,1252
Nevada,23.0,1140
New Hampshire,96.0,1063
New Jersey,82.0,1094
New Mexico,16.0,1093
New York,79.0,1068
North Carolina,52.0,1098
North Dakota,2.0,1283
Oklahoma,8.0,1062
Ohio,18.0,1099
Oregon,48.0,1117
Pennsylvania,70.0,1086
Rhode Island,97.0,1018
South Carolina,55.0,1070
South Dakota,3.0,1240
Tennessee,6.0,1231
Texas,66.0,1032
Utah,4.0,1010
Vermont,64.0,1120
Virginia,68.0,1117
Washington,69.0,1081
West Virginia,28.0,999
Wisconsin,3.0,1294
Wyoming,3.0,1257
